"happy","unit","province","age","gender","urban"
1,16,"江西",2,2,2
1,16,"江西",1,1,1
1,16,"江西",3,1,2
0,16,"江西",2,2,1
1,16,"江西",4,2,2
1,16,"江西",4,2,2
1,16,"江西",4,2,1
1,21,"山东",3,2,2
1,16,"江西",4,1,1
1,16,"江西",2,2,2
1,16,"江西",4,2,2
1,16,"江西",3,2,1
1,16,"江西",1,1,1
0,16,"江西",2,2,2
1,16,"江西",1,2,1
1,16,"江西",3,2,1
0,16,"江西",3,1,1
1,16,"江西",3,1,1
1,16,"江西",3,2,2
1,16,"江西",3,1,2
1,16,"江西",1,1,1
1,16,"江西",1,2,1
1,16,"江西",2,2,1
1,16,"江西",4,1,2
1,16,"江西",3,2,2
1,16,"江西",1,2,2
1,16,"江西",3,2,1
1,16,"江西",4,1,2
0,16,"江西",3,1,2
1,16,"江西",3,1,1
1,16,"江西",4,1,2
0,16,"江西",2,1,1
1,16,"江西",1,2,2
0,16,"江西",3,2,2
1,16,"江西",3,2,1
1,16,"江西",1,2,1
1,16,"江西",4,2,1
1,16,"江西",1,1,1
1,16,"江西",3,2,1
1,16,"江西",1,2,1
1,16,"江西",3,2,2
1,16,"江西",1,1,1
1,16,"江西",2,1,2
0,16,"江西",3,2,2
1,16,"江西",2,2,2
1,16,"江西",3,1,1
1,16,"江西",4,1,2
0,16,"江西",4,1,1
1,16,"江西",2,2,1
1,16,"江西",1,1,2
1,16,"江西",1,2,2
1,16,"江西",2,1,1
1,16,"江西",1,1,1
1,16,"江西",1,2,1
1,16,"江西",4,1,1
1,16,"江西",4,1,2
1,16,"江西",4,2,2
1,16,"江西",4,2,2
1,16,"江西",3,2,2
1,16,"江西",2,1,2
1,16,"江西",2,2,2
0,16,"江西",3,1,1
0,16,"江西",4,2,2
1,16,"江西",2,2,2
1,16,"江西",1,2,2
1,16,"江西",2,1,2
0,16,"江西",2,1,2
1,16,"江西",4,1,2
0,16,"江西",2,1,2
0,16,"江西",2,1,2
1,16,"江西",2,2,2
1,16,"江西",2,1,2
0,16,"江西",3,2,2
1,16,"江西",4,1,2
0,16,"江西",1,2,2
1,21,"山东",3,1,2
1,21,"山东",1,2,2
1,21,"山东",4,1,1
1,21,"山东",3,2,1
1,22,"山西",2,2,1
1,21,"山东",2,2,2
1,21,"山东",3,2,2
1,21,"山东",3,1,2
1,21,"山东",3,2,1
0,21,"山东",3,2,2
1,21,"山东",4,1,1
1,21,"山东",3,2,2
0,21,"山东",4,2,2
1,21,"山东",1,2,2
1,21,"山东",4,2,1
0,21,"山东",3,2,2
1,21,"山东",2,2,1
1,21,"山东",2,1,1
1,21,"山东",1,1,2
1,21,"山东",3,2,2
1,21,"山东",3,1,2
1,14,"吉林",4,2,2
1,21,"山东",3,1,2
1,21,"山东",4,1,2
1,21,"山东",3,1,2
1,21,"山东",2,2,2
1,21,"山东",3,1,2
1,21,"山东",3,1,2
1,21,"山东",3,2,2
1,21,"山东",4,2,2
0,21,"山东",4,2,2
1,21,"山东",2,1,2
1,21,"山东",1,1,1
1,21,"山东",2,1,2
1,21,"山东",3,2,1
1,21,"山东",2,2,1
1,11,"黑龙江",4,2,2
1,21,"山东",3,1,1
0,21,"山东",4,2,2
1,21,"山东",3,2,2
1,21,"山东",3,1,1
1,21,"山东",3,2,2
1,21,"山东",1,2,2
1,21,"山东",4,1,2
1,21,"山东",4,1,1
0,21,"山东",3,2,1
1,4,"甘肃",4,1,2
1,21,"山东",2,1,2
1,21,"山东",2,1,1
1,21,"山东",3,2,1
1,21,"山东",1,1,2
1,21,"山东",4,2,2
1,21,"山东",4,2,2
1,21,"山东",3,1,1
1,21,"山东",1,2,1
1,21,"山东",1,2,2
1,21,"山东",2,1,2
1,21,"山东",2,2,2
1,21,"山东",4,1,2
1,10,"河南",3,1,2
0,21,"山东",1,2,1
1,21,"山东",4,2,2
1,21,"山东",3,1,2
0,21,"山东",2,2,1
1,21,"山东",3,2,1
1,21,"山东",3,2,1
0,21,"山东",3,2,2
0,21,"山东",2,2,2
1,21,"山东",4,1,1
1,21,"山东",1,1,1
1,1,"安徽",3,1,2
1,21,"山东",1,1,2
1,21,"山东",1,2,2
1,21,"山东",3,1,2
1,21,"山东",2,1,2
1,21,"山东",1,2,2
1,21,"山东",3,2,2
1,21,"山东",3,2,2
1,21,"山东",2,2,2
1,21,"山东",3,2,2
1,21,"山东",2,2,2
1,21,"山东",3,2,2
1,21,"山东",4,1,2
0,21,"山东",4,1,2
1,21,"山东",3,2,2
1,21,"山东",2,2,2
1,21,"山东",3,1,1
1,21,"山东",4,2,2
1,21,"山东",2,1,1
1,21,"山东",2,2,2
0,21,"山东",3,1,1
1,21,"山东",3,1,2
0,21,"山东",4,1,1
1,21,"山东",1,1,2
1,21,"山东",3,1,2
1,21,"山东",3,2,1
0,21,"山东",4,1,2
1,21,"山东",3,1,2
1,21,"山东",4,1,2
1,21,"山东",3,2,2
1,21,"山东",1,1,2
1,21,"山东",1,1,1
0,21,"山东",2,1,2
1,21,"山东",3,1,2
1,21,"山东",4,1,2
1,21,"山东",4,2,2
1,21,"山东",3,2,2
1,21,"山东",4,1,1
1,21,"山东",2,2,2
1,21,"山东",4,2,2
1,21,"山东",4,2,2
1,21,"山东",2,1,2
1,21,"山东",4,2,2
1,21,"山东",1,2,2
1,21,"山东",1,1,2
1,21,"山东",2,2,2
1,21,"山东",4,2,2
0,21,"山东",3,2,2
1,21,"山东",2,1,2
1,21,"山东",4,1,2
1,21,"山东",2,1,2
0,10,"河南",4,1,2
1,21,"山东",4,2,2
1,21,"山东",1,2,2
1,21,"山东",2,2,1
1,21,"山东",4,1,2
1,21,"山东",3,2,2
1,21,"山东",1,1,2
0,21,"山东",4,2,2
1,21,"山东",3,2,2
1,21,"山东",3,2,2
1,10,"河南",1,2,2
1,10,"河南",4,2,2
1,10,"河南",1,2,2
1,10,"河南",1,2,2
1,10,"河南",4,2,1
1,10,"河南",1,1,2
1,10,"河南",3,2,2
1,1,"安徽",4,2,2
1,10,"河南",1,1,2
1,10,"河南",3,2,2
1,10,"河南",3,2,2
0,10,"河南",4,2,1
1,10,"河南",4,2,2
1,10,"河南",2,1,2
1,10,"河南",3,1,2
1,10,"河南",3,1,2
1,12,"湖北",2,2,1
1,10,"河南",3,2,2
1,10,"河南",2,1,2
1,10,"河南",4,1,2
1,10,"河南",2,2,2
1,10,"河南",2,2,1
1,10,"河南",2,1,2
1,10,"河南",1,2,2
1,10,"河南",4,2,2
1,10,"河南",4,2,2
1,10,"河南",4,1,2
0,10,"河南",2,2,2
1,10,"河南",4,2,2
1,10,"河南",3,2,2
1,10,"河南",2,2,2
0,10,"河南",2,2,2
1,10,"河南",1,2,2
0,10,"河南",3,2,2
1,10,"河南",1,1,1
1,10,"河南",1,1,1
1,10,"河南",4,2,1
0,10,"河南",1,2,2
1,10,"河南",4,1,2
1,10,"河南",4,2,1
1,10,"河南",1,2,2
1,10,"河南",2,2,2
1,10,"河南",4,2,2
1,10,"河南",3,1,2
1,10,"河南",2,1,1
1,10,"河南",2,2,1
1,10,"河南",2,1,2
1,10,"河南",4,2,2
1,10,"河南",1,1,2
1,10,"河南",2,2,2
1,10,"河南",3,2,2
1,25,"四川",4,2,2
1,10,"河南",1,2,2
1,10,"河南",4,1,2
1,10,"河南",4,1,2
1,10,"河南",3,1,2
1,10,"河南",1,1,1
1,10,"河南",4,2,2
1,10,"河南",2,2,1
1,10,"河南",2,2,2
1,10,"河南",2,2,2
1,7,"贵州",3,2,2
1,10,"河南",4,1,1
1,10,"河南",2,2,1
1,10,"河南",3,2,2
1,10,"河南",2,1,2
0,10,"河南",2,1,2
1,10,"河南",4,2,2
1,10,"河南",1,1,2
1,10,"河南",4,1,2
1,10,"河南",3,2,2
1,10,"河南",4,1,2
1,11,"黑龙江",4,1,1
1,10,"河南",1,1,2
1,10,"河南",2,1,1
1,10,"河南",2,2,2
1,10,"河南",2,1,2
1,10,"河南",1,1,2
0,10,"河南",4,2,2
1,10,"河南",4,1,2
1,10,"河南",4,2,2
1,10,"河南",2,1,2
0,10,"河南",4,1,2
0,10,"河南",1,1,2
1,10,"河南",4,1,2
1,10,"河南",1,1,2
1,10,"河南",1,2,2
1,10,"河南",3,1,2
1,10,"河南",4,2,2
0,10,"河南",3,1,2
1,10,"河南",2,2,2
1,10,"河南",2,2,1
1,10,"河南",2,1,2
1,10,"河南",2,1,1
1,10,"河南",3,2,2
1,10,"河南",2,2,2
0,10,"河南",3,1,2
1,10,"河南",4,2,2
1,10,"河南",3,1,2
1,10,"河南",2,2,2
1,10,"河南",3,2,1
0,10,"河南",1,1,1
1,10,"河南",2,1,1
1,10,"河南",1,2,2
1,10,"河南",3,2,2
0,10,"河南",1,1,1
1,10,"河南",1,1,1
1,10,"河南",2,1,1
1,10,"河南",4,1,2
1,10,"河南",4,2,1
1,10,"河南",4,1,2
0,10,"河南",4,2,1
1,10,"河南",4,2,2
1,10,"河南",1,2,2
1,10,"河南",1,1,2
1,10,"河南",1,2,2
0,10,"河南",1,1,1
1,10,"河南",1,1,2
1,10,"河南",2,2,2
1,10,"河南",2,1,2
0,10,"河南",3,1,2
1,10,"河南",4,2,2
1,10,"河南",3,2,2
1,10,"河南",2,1,2
1,12,"湖北",4,2,2
1,12,"湖北",3,1,1
1,12,"湖北",3,2,1
1,12,"湖北",3,1,2
1,12,"湖北",2,2,2
0,12,"湖北",3,2,2
1,12,"湖北",3,2,1
1,12,"湖北",3,2,2
1,12,"湖北",4,2,2
0,12,"湖北",4,1,1
1,12,"湖北",4,2,2
1,12,"湖北",4,2,2
1,12,"湖北",3,2,1
0,12,"湖北",3,2,2
1,12,"湖北",3,2,2
1,12,"湖北",2,1,1
1,12,"湖北",2,1,2
1,14,"吉林",4,2,2
0,12,"湖北",3,1,2
1,12,"湖北",4,2,2
0,12,"湖北",2,2,1
0,12,"湖北",2,2,2
1,12,"湖北",4,2,2
1,12,"湖北",3,2,1
1,6,"广西",4,2,2
1,12,"湖北",1,1,1
1,12,"湖北",4,2,1
1,12,"湖北",1,1,1
1,12,"湖北",4,2,1
1,12,"湖北",4,2,2
1,12,"湖北",4,1,2
1,12,"湖北",3,1,1
0,12,"湖北",3,2,1
1,12,"湖北",1,1,2
1,12,"湖北",4,2,2
1,12,"湖北",3,1,2
1,10,"河南",4,2,2
1,12,"湖北",4,2,2
1,12,"湖北",2,1,1
1,13,"湖南",1,2,2
0,12,"湖北",1,1,1
1,12,"湖北",3,2,1
1,12,"湖北",4,2,2
1,12,"湖北",4,1,2
0,12,"湖北",2,1,2
1,12,"湖北",1,2,2
1,12,"湖北",1,2,2
1,12,"湖北",3,2,2
1,12,"湖北",2,2,2
0,12,"湖北",2,1,2
1,12,"湖北",4,1,1
0,23,"陕西",4,2,2
0,12,"湖北",3,2,2
1,12,"湖北",3,2,1
1,12,"湖北",1,2,1
0,12,"湖北",4,1,1
0,12,"湖北",4,1,2
1,12,"湖北",4,1,2
0,12,"湖北",3,2,2
1,12,"湖北",1,2,2
1,12,"湖北",4,1,2
1,12,"湖北",1,2,2
1,12,"湖北",1,1,1
1,12,"湖北",2,2,1
1,7,"贵州",2,2,2
1,12,"湖北",1,1,1
0,12,"湖北",3,1,2
1,12,"湖北",2,2,2
1,12,"湖北",1,2,1
1,14,"吉林",1,1,1
1,12,"湖北",2,2,1
1,12,"湖北",1,2,1
0,12,"湖北",2,1,2
1,12,"湖北",4,1,2
0,12,"湖北",2,2,2
1,12,"湖北",4,2,1
1,12,"湖北",4,2,2
1,12,"湖北",1,2,2
1,12,"湖北",1,2,2
1,12,"湖北",2,2,2
1,12,"湖北",4,2,2
1,12,"湖北",3,2,2
1,12,"湖北",1,1,2
1,12,"湖北",3,1,2
1,12,"湖北",2,2,2
1,12,"湖北",3,2,2
1,12,"湖北",2,2,2
1,12,"湖北",4,2,1
0,12,"湖北",3,1,2
1,15,"江苏",4,2,1
1,12,"湖北",2,2,1
1,12,"湖北",3,1,1
0,12,"湖北",4,2,2
0,12,"湖北",3,1,2
0,12,"湖北",4,1,2
1,12,"湖北",2,2,1
0,12,"湖北",2,1,1
1,12,"湖北",2,1,2
1,12,"湖北",4,2,1
1,12,"湖北",2,1,2
1,12,"湖北",3,2,2
1,12,"湖北",4,1,1
0,12,"湖北",2,2,2
1,12,"湖北",3,2,2
0,30,"重庆",2,2,2
1,12,"湖北",2,2,2
1,12,"湖北",1,1,1
1,12,"湖北",4,1,2
0,12,"湖北",4,2,2
1,12,"湖北",4,1,1
1,12,"湖北",3,2,2
1,12,"湖北",2,1,2
1,12,"湖北",3,1,2
0,12,"湖北",3,1,2
1,12,"湖北",2,2,1
1,13,"湖南",1,2,2
1,13,"湖南",4,2,2
1,13,"湖南",4,1,2
1,13,"湖南",3,1,2
1,13,"湖南",3,2,1
1,13,"湖南",4,1,1
0,13,"湖南",2,2,2
1,13,"湖南",3,2,2
1,13,"湖南",3,2,2
1,13,"湖南",1,2,1
0,13,"湖南",4,2,1
1,13,"湖南",4,2,2
1,13,"湖南",1,1,2
1,13,"湖南",3,2,2
1,13,"湖南",3,1,1
1,13,"湖南",3,2,2
0,13,"湖南",1,1,2
1,13,"湖南",1,1,2
1,13,"湖南",2,1,2
1,13,"湖南",1,2,1
1,13,"湖南",1,1,2
0,7,"贵州",2,2,2
1,13,"湖南",3,1,1
1,13,"湖南",4,2,2
1,13,"湖南",3,1,1
1,5,"广东",1,2,2
1,13,"湖南",2,1,2
1,13,"湖南",4,2,2
1,13,"湖南",4,2,2
1,13,"湖南",4,1,2
1,13,"湖南",3,2,2
1,13,"湖南",4,2,1
1,13,"湖南",1,2,2
1,13,"湖南",4,2,1
1,13,"湖南",3,2,1
1,13,"湖南",2,2,2
1,13,"湖南",4,2,2
1,13,"湖南",4,1,2
0,13,"湖南",2,2,2
1,13,"湖南",4,2,1
1,13,"湖南",4,1,2
1,13,"湖南",2,2,2
1,13,"湖南",2,2,2
1,13,"湖南",2,2,2
1,13,"湖南",2,2,2
0,13,"湖南",3,2,1
1,13,"湖南",1,1,1
1,13,"湖南",3,2,2
1,13,"湖南",4,1,1
0,13,"湖南",2,2,2
1,13,"湖南",4,1,1
1,13,"湖南",1,1,2
0,13,"湖南",3,1,2
1,13,"湖南",4,1,2
1,13,"湖南",4,1,1
1,13,"湖南",4,2,2
1,13,"湖南",2,2,2
0,13,"湖南",3,2,1
0,13,"湖南",1,1,1
1,13,"湖南",4,2,2
0,13,"湖南",3,1,1
1,13,"湖南",1,1,2
1,5,"广东",3,2,2
1,13,"湖南",4,2,2
1,13,"湖南",4,2,2
0,13,"湖南",2,2,2
0,13,"湖南",3,1,2
0,13,"湖南",4,2,2
1,13,"湖南",1,1,2
1,13,"湖南",2,1,1
1,13,"湖南",3,2,1
1,13,"湖南",4,2,1
0,13,"湖南",4,1,1
0,13,"湖南",3,2,2
0,13,"湖南",4,1,2
1,13,"湖南",4,2,2
1,13,"湖南",1,1,2
1,13,"湖南",4,1,2
1,13,"湖南",3,2,2
1,13,"湖南",2,1,2
1,13,"湖南",2,2,2
1,13,"湖南",3,2,2
1,5,"广东",4,2,1
1,5,"广东",4,2,1
1,5,"广东",2,1,1
1,5,"广东",1,1,2
1,5,"广东",3,2,1
0,13,"湖南",1,1,2
1,5,"广东",4,2,2
1,25,"四川",1,1,1
1,5,"广东",1,1,2
1,5,"广东",2,1,1
1,16,"江西",4,2,1
1,5,"广东",4,2,1
1,5,"广东",2,2,2
1,6,"广西",4,1,2
1,5,"广东",3,2,1
0,5,"广东",4,1,2
0,5,"广东",3,2,2
1,4,"甘肃",1,2,1
1,13,"湖南",2,1,2
1,10,"河南",4,1,2
0,5,"广东",3,1,1
1,6,"广西",2,1,2
1,13,"湖南",2,1,1
1,5,"广东",4,1,1
1,7,"贵州",3,2,2
1,5,"广东",2,1,1
1,15,"江苏",4,1,1
1,5,"广东",3,1,2
1,21,"山东",3,2,1
0,5,"广东",1,2,2
0,5,"广东",4,1,1
1,13,"湖南",4,1,2
1,5,"广东",3,2,2
1,5,"广东",3,2,2
1,5,"广东",3,2,1
1,5,"广东",1,1,2
1,5,"广东",1,2,2
1,13,"湖南",4,2,1
1,16,"江西",1,2,1
1,5,"广东",2,1,2
1,5,"广东",3,2,2
1,30,"重庆",1,1,2
1,5,"广东",3,2,2
1,10,"河南",3,1,2
1,5,"广东",4,2,1
0,13,"湖南",3,2,2
1,5,"广东",1,2,2
1,5,"广东",2,1,2
1,5,"广东",1,2,1
1,16,"江西",4,2,1
0,16,"江西",1,2,2
1,30,"重庆",4,2,1
1,10,"河南",4,1,2
0,5,"广东",2,1,1
0,5,"广东",3,2,1
1,5,"广东",2,2,2
1,5,"广东",3,2,1
1,5,"广东",2,1,2
1,22,"山西",3,2,2
1,5,"广东",4,1,1
1,13,"湖南",1,1,1
1,5,"广东",2,2,1
1,10,"河南",3,1,2
1,5,"广东",3,2,2
1,5,"广东",2,2,1
1,5,"广东",1,1,2
0,5,"广东",4,2,1
1,5,"广东",3,1,1
1,5,"广东",2,1,1
1,12,"湖北",3,2,2
1,13,"湖南",3,2,2
0,13,"湖南",2,1,2
1,5,"广东",3,1,1
1,10,"河南",2,2,1
1,16,"江西",2,2,2
1,13,"湖南",1,1,2
1,5,"广东",2,2,1
1,16,"江西",4,2,2
1,13,"湖南",4,1,2
1,5,"广东",1,1,2
1,5,"广东",2,1,1
0,16,"江西",2,2,2
1,10,"河南",2,1,2
1,15,"江苏",3,1,1
1,5,"广东",3,1,1
0,10,"河南",4,1,2
1,5,"广东",3,1,2
1,5,"广东",4,2,1
1,25,"四川",1,2,2
1,5,"广东",2,1,1
1,5,"广东",3,2,1
1,5,"广东",4,2,2
1,5,"广东",4,2,2
1,5,"广东",1,1,2
1,5,"广东",1,2,2
0,10,"河南",4,2,1
1,5,"广东",4,1,2
1,5,"广东",3,1,2
0,5,"广东",2,1,2
1,5,"广东",1,1,1
0,5,"广东",3,1,1
1,5,"广东",2,1,2
1,5,"广东",1,1,1
1,29,"浙江",4,1,2
1,5,"广东",1,2,1
1,10,"河南",2,2,2
1,5,"广东",4,1,1
1,5,"广东",2,1,2
0,5,"广东",1,1,2
1,5,"广东",1,2,2
1,5,"广东",3,2,2
1,5,"广东",2,1,1
0,5,"广东",1,2,2
0,5,"广东",4,1,2
0,13,"湖南",4,2,2
1,5,"广东",2,2,2
1,5,"广东",4,1,1
1,5,"广东",1,1,1
1,5,"广东",4,1,2
1,16,"江西",1,1,2
1,5,"广东",2,1,2
0,5,"广东",4,1,2
1,5,"广东",1,2,1
1,5,"广东",1,2,2
1,5,"广东",3,2,2
0,12,"湖北",3,1,2
1,9,"河北",2,1,2
1,5,"广东",3,2,1
0,13,"湖南",4,1,2
1,13,"湖南",3,1,1
1,5,"广东",4,2,1
0,5,"广东",3,2,2
1,5,"广东",2,2,2
1,13,"湖南",4,2,2
0,5,"广东",2,1,2
1,17,"辽宁",4,1,1
1,6,"广西",2,2,2
1,5,"广东",1,2,2
1,6,"广西",3,2,1
1,5,"广东",1,1,2
1,10,"河南",4,2,2
1,5,"广东",1,2,1
1,6,"广西",2,2,2
1,5,"广东",2,2,2
1,16,"江西",4,1,2
1,5,"广东",2,2,1
0,6,"广西",3,1,1
1,5,"广东",2,1,1
1,5,"广东",3,1,2
1,5,"广东",3,2,2
1,13,"湖南",2,1,1
1,13,"湖南",2,2,2
0,5,"广东",3,1,1
1,6,"广西",3,2,2
1,13,"湖南",4,2,1
1,5,"广东",2,1,2
1,5,"广东",4,1,1
1,16,"江西",4,1,2
1,5,"广东",4,2,2
0,6,"广西",1,1,2
1,5,"广东",3,1,1
1,16,"江西",2,2,2
1,5,"广东",3,1,1
1,5,"广东",1,2,1
1,5,"广东",1,1,2
1,10,"河南",2,2,2
0,5,"广东",1,1,1
1,5,"广东",3,2,2
0,5,"广东",1,2,1
0,5,"广东",4,2,2
1,12,"湖北",4,2,2
0,5,"广东",2,2,1
1,5,"广东",1,1,1
1,9,"河北",4,2,1
1,16,"江西",1,2,1
1,10,"河南",2,2,2
0,16,"江西",2,1,1
1,5,"广东",3,2,1
1,5,"广东",3,1,2
1,13,"湖南",4,2,2
1,13,"湖南",4,1,2
1,5,"广东",3,2,2
1,5,"广东",3,2,2
1,5,"广东",1,2,1
0,13,"湖南",2,1,2
1,13,"湖南",4,1,1
1,10,"河南",1,2,1
1,5,"广东",1,1,2
0,12,"湖北",4,2,1
1,1,"安徽",2,2,1
0,13,"湖南",1,1,2
0,13,"湖南",2,2,2
1,10,"河南",3,1,2
0,7,"贵州",1,2,1
0,5,"广东",2,2,2
1,16,"江西",1,1,2
1,5,"广东",4,2,2
1,5,"广东",1,2,2
0,5,"广东",4,1,2
1,1,"安徽",4,2,1
1,5,"广东",1,2,2
0,17,"辽宁",2,1,1
1,5,"广东",4,2,1
1,5,"广东",2,1,2
0,12,"湖北",3,2,1
1,5,"广东",1,1,1
1,5,"广东",1,2,1
1,5,"广东",1,1,1
0,6,"广西",3,1,1
1,5,"广东",1,2,1
1,12,"湖北",4,1,1
1,13,"湖南",4,2,1
1,17,"辽宁",1,1,2
1,21,"山东",4,1,2
1,5,"广东",3,1,2
0,5,"广东",3,1,2
0,5,"广东",4,2,1
0,5,"广东",1,1,2
1,15,"江苏",4,1,2
0,13,"湖南",4,2,1
0,8,"海南",3,2,2
1,5,"广东",3,2,2
1,5,"广东",1,1,1
1,5,"广东",1,1,2
1,21,"山东",3,1,2
0,5,"广东",4,1,2
1,5,"广东",2,2,1
1,8,"海南",2,2,1
1,5,"广东",2,2,2
1,23,"陕西",3,1,1
0,13,"湖南",3,2,1
1,5,"广东",3,2,1
0,5,"广东",3,2,1
1,4,"甘肃",2,2,2
1,5,"广东",4,1,2
0,5,"广东",1,2,1
0,25,"四川",2,1,2
0,5,"广东",4,2,2
1,1,"安徽",2,2,2
0,13,"湖南",2,2,1
1,12,"湖北",4,1,2
1,12,"湖北",2,2,2
0,3,"福建",2,1,2
1,6,"广西",3,1,2
0,5,"广东",2,2,2
1,5,"广东",3,1,2
1,5,"广东",2,2,2
1,12,"湖北",2,1,2
0,5,"广东",3,1,1
0,5,"广东",4,1,2
1,5,"广东",2,2,1
1,13,"湖南",1,2,2
0,5,"广东",2,1,2
1,5,"广东",1,2,2
